114,제일기획,"21,900","

				650
				
","

				-2.88%
				
",200,"25,194","115,041",34.31,"397,244",12.78,15.58,
115,한화생명,"2,885","

				85
				
","

				-2.86%
				
","5,000","25,057","868,530",6.69,"2,111,302",2.34,10.79,
116,CJ,"85,300","

				2,100
				
","

				-2.40%
				
","5,000","24,888","29,177",17.99,"39,114",8.67,5.66,
117,KODEX 종합채권(AA-이상)액티브,"104,465","

				55
				
","

				-0.05%
				
",0,"24,628","23,575",0.00,"4,450",N/A,N/A,
118,서울가스,"482,000","

				1,000
				
","

				+0.21%
				
","5,000","24,100","5,000",4.67,"5,357",114.16,0.80,
119,동원산업,"47,750","

				100
				
","

				+0.21%
				
","1,000","23,867","49,983",2.39,"21,446",4.34,12.59,
120,한전기술,"61,800","

				1,100
				
","

				+1.81%
				
",200,"23,620","38,220",2.25,"130,241",116.38,3.25,
121,BNK금융지주,"7,160","

				80
				
","

				+1.13%
				
","5,000","23,337","325,935",36.24,"1,224,281",2.88,8.76,
122,신세계,"235,000","

				1,000
				
","

				-0.42%
				
","5,000","23,136","9,845",26.02,"45,791",7.79,8.54,
123,한화시스템,"12,200","

				50
				
","

				-0.41%
				
","5,000","23,048","188,919",3.42,"688,699",-254.17,6.04,
124,KODEX 200선물인버스2X,"2,945","

				35
				
","

				-1.17%
				
",0,"23,027","781,900",0.21,"111,187,592",N/A,N/A,
125,한솔케미칼,"201,000","
0
","
0.00%
","5,000","22,784","11,335",39.36,"25,198",15.95,23.88,
126,에스원,"58,800","

				200
				
","

				+0.34%
				
",500,"22,344","37,999",53.93,"51,564",17.55,9.13,
127,휠라홀딩스,"36,200","

				1,000
				
","

				+2.84%
				
","1,000","21,992","60,752",43.26,"268,873",10.21,16.20,
128,LG화학우,"286,000","

				2,000
				
","

				-0.69%
				
","5,000","21,990","7,689",70.44,"7,136",10.06,N/A,
129,LS,"67,800","

				700
				
","

				-1.02%
				
","5,000","21,832","32,200",13.51,"96,891",5.45,8.15,
130,대우조선해양,"20,000","

				750
				
","

				+3.90%
				
","5,000","21,458","107,291",2.81,"428,955",-1.25,-55.86,
131,한미사이언스,"30,500","

				350
				
","

				+1.16%
				
",500,"21,337","69,957",1.24,"55,680",42.07,6.37,
132,JB금융지주,"10,800","

				400
				
","

				+3.85%
				
","5,000","21,274","196,983",31.16,"1,744,197",3.66,12.80,
133,OCI,"89,200","

				600
				
","

				+0.68%
				
","5,000","21,274","23,849",14.66,"210,370",2.64,23.93,
134,농심,"348,500","

				500
				
","

				-0.14%
				
","5,000","21,198","6,083",15.27,"16,650",18.23,4.73,
135,TIGER MSCI Korea TR,"13,180","

				55
				
","

				+0.42%
				
",0,"21,141","160,400",0.01,"1,862",N/A,N/A,
136,CJ대한통운,"92,300","

				700
				
","

				-0.75%
				
","5,000","21,056","22,812",16.84,"44,203",10.44,1.59,
137,두산퓨얼셀,"31,950","

				1,100
				
","

				-3.33%
				
",100,"20,925","65,494",15.04,"739,360",639.00,1.69,
138,한화,"27,850","

				250
				
","

				+0.91%
				
","5,000","20,876","74,959",18.13,"78,013",2.01,20.22,
